,0
0,2432.593018352844
1,3453.4169212239253
2,3523.532069814803
3,2260.0319990309845
4,1728.025303641698
5,2834.295120515333
6,2563.2616853891304
7,2716.7466046312816
8,3027.7727481160146
9,3184.54486622884
10,2861.73901345178
11,2746.3094464216724
12,2862.170312500827
13,2110.040498731272
14,2833.8644032465236
15,3702.311586270721
16,3132.8400733218195
17,2398.567452843933
18,2889.9194412853685
19,3788.5172549757035
20,3790.5087305047828
21,3260.424907245039
22,3356.8410196889954
23,2774.615420282995
24,3428.672667826033
25,3053.203628932879
26,3452.3162765805464
27,5423.056195605608
28,3234.6036694944237
29,4617.17725571179
30,3107.6564399031668
31,3107.6564399031668
32,3309.816158346328
33,3429.109218364803
34,3080.2045338749967
35,5194.207994672575
36,5422.739521551117
37,3723.7445181583985
38,4117.819289160569
39,2330.7876668193985
40,4347.46042540425
41,4347.913064325378
42,6124.277347251242
43,4687.849371392944
44,3358.72328795538
45,4705.08527990497
46,3003.2282912335013
47,4292.42204707618
48,4958.527594792592
49,3684.4809417755628
50,4020.911759077085
51,2332.981829416911
52,4080.465009465546
53,2225.1926225628354
54,2152.490266929264
55,5152.216499435128
56,1475.9741898907441
57,3940.2503255165716
58,3897.5699875715572
59,3238.6236445663176
60,2402.442021291191
61,3058.013304719061
62,2436.1164069927518
63,723.5306610432231
64,4603.660329440559
65,4843.716406992751
66,3162.509260278229
67,2566.3496385332155
68,3004.389653248005
69,2226.3444560751486
70,3771.2827083621905
71,3004.389653248005
72,2837.383073659418
73,4041.1830736594184
74,1090.1682164126032
75,6114.026713358922
76,3031.3211817917318
77,3684.229721184054
78,2808.573423194637
79,2865.900217633972
80,2808.573423194637
81,5260.393643914717
82,6486.292253555131
83,2808.573423194637
84,4159.809594899469
85,4041.1830736594184
86,3288.4222174930082
87,3572.4076506212386
88,2368.28303733101
89,3337.4461084051118
90,2922.0914905951186
91,3213.471835252306
92,3918.941081897937
93,4120.649533968081
94,3213.471835252306
95,1910.6239042178997
96,4275.123644672158
97,4159.809594899469
98,3997.3698528977075
99,6279.617273454243
100,4723.7675355080955
101,3771.4403843694386
102,4120.01400697533
103,4289.523943456658
104,5687.866180107265
105,2972.724741362389
106,3706.072940725227
107,4442.017226333333
108,3543.7677298475455
109,3789.5878244502965
110,5770.564752990691
111,2434.249824
112,4385.244163435606
113,5254.666002921966
114,3701.815435725227
115,4858.874782983388
116,4455.787412496675
117,2715.7767203142475
118,5198.609021077236
119,2562.949694540464
120,3974.026675600717
121,2429.881388
122,2803.9592122018857
123,3330.0209244123603
124,3521.049859822842
125,3703.6124767252268
126,2029.6878783333332
127,3208.4215222595544
128,3896.7700703611063
129,4925.815825406745
130,4038.7276396666666
131,2292.100886512976
132,1678.6476187061803
133,3699.746268725227
134,3788.235331450296
135,2430.812817
136,2369.724299338258
137,4097.895031686005
138,4689.33445616449
139,3981.265824600717
140,2430.0024129999997
141,3522.3888598228423
142,2530.429005157331
143,2293.884537512976
144,6088.9695924526195
145,5196.5169880772355
146,2598.3609120072215
147,5445.538054872912
148,5367.694762207851
149,4403.923325866159
150,4238.123756757428
151,3311.582994260019
152,5356.365766839775
153,6078.036517947284
154,6377.59366785116
155,3599.011238521502
156,3478.7512194886376
157,4879.983608004382
158,2951.321153238629
159,5184.7298822587245
160,4534.573385058168
161,4587.879467309277
162,2437.966222859697
163,3314.8754451197156
164,3215.3216511192513
165,4795.143890985112
166,6049.366222859697
167,4657.999173347931
