,0
0,3.656505406984884
1,3.8261029066362346
2,5.592687400435965
3,2.635795193938771
4,4.437351272649428
5,5.041411239469156
6,3.8578529722713193
7,4.665118200901791
8,4.37428973674846
9,3.032073971900107
10,4.8838036143850045
11,2.976026807222159
12,3.6371996263907707
13,2.681297993990539
14,2.9013938784815676
15,3.2750634722268557
16,3.4272555416769848
17,3.5526700516587857
18,2.3714577505609
19,3.199681964249721
20,3.846947195892866
21,4.594327224245902
22,3.9856167108573106
23,2.370720878739905
24,1.885941658422362
25,3.6145644242360793
26,3.664961847014373
27,2.6120752486789205
28,2.566514612571944
29,4.00724477466984
30,4.448348232887482
31,3.903790083677437
32,2.6641166191780967
33,3.3465989516146886
34,2.621043292776269
35,2.4962707773806843
36,5.942430134401383
37,5.139188468702952
38,2.8187983809609394
39,5.301510504500667
40,5.235351072458486
41,4.337462351001105
42,4.284675474891606
43,3.503376419606245
44,5.301230502731492
45,6.00381804384109
46,6.180811714469634
47,3.7581422203823625
48,3.701793306124342
49,4.623793820595867
50,3.14267365499101
51,5.029367542283195
52,4.510164497250584
53,4.510164497250584
54,2.608660533718823
55,3.32205184454747
56,3.2429952938980784
57,4.761498739837973
58,5.934706623056728
59,4.646461498250888
60,4.646461498250888
