,0
0,686.3850249006505
1,686.3850249006505
2,686.3850249006505
3,686.3850249006505
4,788.9142689405583
5,867.9917043053618
6,910.5052428530041
7,828.7012022972098
8,1048.3035171020226
9,1000.5205830414703
10,1018.6699253112923
11,1084.0340114744115
12,1084.0340114744115
13,1084.0340114744115
14,1084.0340114744115
15,1084.0340114744115
16,1084.0340114744115
17,1084.0340114744115
18,1084.0340114744115
19,1084.0340114744115
20,1084.0340114744115
21,1084.0340114744115
22,1084.0340114744115
23,1084.0340114744115
24,1084.0340114744115
25,1084.0340114744115
26,1084.0340114744115
27,1084.0340114744115
28,1084.0340114744115
29,1084.0340114744115
30,1084.0340114744115
31,1084.0340114744115
32,1084.0340114744115
33,1084.0340114744115
34,1084.0340114744115
35,1084.0340114744115
36,1084.0340114744115
37,1084.0340114744115
38,1084.0340114744115
39,1084.0340114744115
40,1084.0340114744115
41,1084.0340114744115
42,1084.0340114744115
43,1084.0340114744115
44,1084.0340114744115
45,1084.0340114744115
46,1084.0340114744115
47,1084.0340114744115
48,1084.0340114744115
49,1084.0340114744115
50,1084.0340114744115
51,1084.0340114744115
52,1084.0340114744115
53,1084.0340114744115
54,1084.0340114744115
55,1084.0340114744115
56,1084.0340114744115
57,1084.0340114744115
58,1084.0340114744115
59,1084.0340114744115
60,1084.0340114744115
61,1084.0340114744115
62,1084.0340114744115
63,1084.0340114744115
64,1084.0340114744115
65,1084.0340114744115
66,1084.0340114744115
67,1084.0340114744115
68,1084.0340114744115
69,1084.0340114744115
70,1084.0340114744115
71,1084.0340114744115
72,1084.0340114744115
73,1084.0340114744115
74,1084.0340114744115
75,1084.0340114744115
76,1084.0340114744115
77,1084.0340114744115
78,1084.0340114744115
79,1084.0340114744115
80,1084.0340114744115
81,1084.0340114744115
82,1084.0340114744115
83,1084.0340114744115
84,1084.0340114744115
85,1084.0340114744115
86,1084.0340114744115
87,1084.0340114744115
88,1084.0340114744115
89,1084.0340114744115
90,1195.7389484900386
91,1074.8346974836536
92,1183.8153899890985
93,1099.7291903159226
94,1124.3923117936135
95,1152.312912410319
96,1152.312912410319
97,1153.4790919872823
98,1096.3336128529836
99,1140.4827160053705
100,1144.5162214239276
101,1215.6156239318748
102,1146.7332841192313
103,1089.7379129340068
104,1064.7504244140498
105,1250.570057329947
106,1254.0834866433336
107,1165.5050786454701
108,1165.0276368656519
109,1229.4033715587525
110,1255.1908508103509
111,1213.2725266362736
112,1081.5148269853
113,1160.7815177439138
114,1118.727600831723
115,1102.6284648707872
116,1325.1365851072653
117,1279.479392006855
118,1219.1188482772284
119,1361.8648266276475
120,1359.5128075774685
121,1277.9836601281463
122,1277.9836601281463
123,1214.2642681281636
124,1445.5270038128212
125,1536.264658207281
126,1546.1460375844458
127,1103.1723829214714
128,1098.7728566987705
129,1174.9728166143411
130,1065.5079143379232
131,1105.3006118987557
132,1095.644434251377
133,1095.644434251377
134,1042.877746114594
135,1070.1891032568021
136,1067.312478573932
137,1261.335780930411
138,1289.2540863488873
139,1159.6748878444746
140,1159.6748878444746
141,1159.6748878444746
142,1159.6748878444746
143,1159.6748878444746
144,1159.6748878444746
145,1159.6748878444746
146,1159.6748878444746
147,1159.6748878444746
148,1159.6748878444746
149,1159.6748878444746
