,0
0,1111.2
1,1582.3494936328068
2,1614.5361686874655
3,1031.14995999612
4,785.7370552544917
5,1296.4
6,1171.307645326368
7,1242.3593682988833
8,1385.909896061068
9,1458.2662582669875
10,1309.5617587574861
11,1256.0875128747996
12,1309.5617587574861
13,962.3274286852683
14,1296.4
15,1697.3860374116432
16,1434.5530314352272
17,1095.6579758300488
18,1322.592544966136
19,1737.3299974385984
20,1737.3299974385984
21,1493.1301349848914
22,1538.3867394124275
23,1269.6672319942734
24,1571.4741105089834
25,1398.229337412143
26,1582.3494936328068
27,2491.611173518051
28,1481.6000000000001
29,2119.7108859464774
30,1422.5481925052661
31,1422.5481925052661
32,1515.9273333507779
33,1571.4741105089834
34,1410.441179205996
35,2386.1350841894937
36,2491.611173518051
37,1707.4596334906428
38,1888.6768278347677
39,1063.893002138843
40,1994.6650445626203
41,1994.6650445626203
42,2814.796305241287
43,2151.8295471528413
44,1538.3867394124275
45,2159.7845818506994
46,1373.479959810117
47,1968.7030045184572
48,2275.775700722723
49,1687.2522988575242
50,1842.7167335214601
51,1063.893002138843
52,1870.4283145846568
53,1014.3821764995678
54,979.9862856183245
55,2364.475316005646
56,667.7480962159308
57,1805.1063126586203
58,1786.0041209358953
59,1481.6000000000001
60,1095.6579758300488
61,1398.229337412143
62,1111.2
63,320.7758095617561
64,2111.6048872836036
65,2222.4
66,1446.4582399779126
67,1171.307645326368
68,1373.479959810117
69,1014.3821764995678
70,1727.4306006320487
71,1373.479959810117
72,1296.4
73,1852.0
74,489.99314280916224
75,2808.6970644766943
76,1385.909896061068
77,1687.2522988575242
78,1283.1032382470244
79,1309.5617587574861
80,1283.1032382470244
81,2414.7125708870612
82,2980.5119291826363
83,1283.1032382470244
84,1906.7507021107926
85,1852.0
86,1504.57191253858
87,1635.6421124439173
88,1079.8922909253497
89,1527.1983237287816
90,1335.4961924318616
91,1469.9794284274867
92,1795.5806191870083
93,1888.6768278347677
94,1469.9794284274867
95,868.6649987192992
96,1959.972571236649
97,1906.7507021107926
98,1833.3864622604806
99,2886.9822860558047
100,2167.7104234652747
101,1727.4306006320487
102,1888.6768278347677
103,1968.7030045184572
104,2612.567503434122
105,1360.9365010903336
106,1697.3860374116432
107,2037.2
108,1625.123404545021
109,1737.3299974385984
110,2651.6604609187807
111,1111.2
112,2011.7869469702798
113,2414.7125708870612
114,1697.3860374116432
115,2230.1033159923336
116,2045.6008603830808
117,1242.3593682988833
118,2386.1350841894937
119,1171.307645326368
120,1824.0084648926388
121,1111.2
122,1283.1032382470244
123,1527.1983237287816
124,1614.5361686874655
125,1697.3860374116432
126,926.0
127,1469.9794284274867
128,1786.0041209358953
129,2260.654100033882
130,1852.0
131,1047.649407005989
132,763.5991618643908
133,1697.3860374116432
134,1737.3299974385984
135,1111.2
136,1079.8922909253497
137,1879.5747178550791
138,2151.8295471528413
139,1824.0084648926388
140,1111.2
141,1614.5361686874655
142,1156.5736293033835
143,1047.649407005989
144,2796.458674824286
145,2386.1350841894937
146,1185.8586087725637
147,2498.4845967105744
148,2463.925745634393
149,2020.2934836305344
150,1942.3939868111208
151,1515.9273333507779
152,2456.9556446952806
153,2790.3193508987465
154,2928.2691133159196
155,1646.093606086847
156,1593.1506394562946
157,2237.780114309715
158,1348.276351494752
159,2378.937073568782
160,2078.864844091602
161,2103.467651284421
162,1111.2
163,1515.9273333507779
164,1469.9794284274867
165,2199.1281545194224
166,2778.0
167,2135.8305925330314
